round,trusted_count,unknown_count,malicious_count
0,1001,999,0
1,1001,999,0
2,1001,999,0
3,1001,999,0
4,1001,999,0
5,1001,999,0
6,1001,999,0
7,1001,999,0
8,1001,999,0
9,1002,998,0
10,1002,998,0
11,1002,998,0
12,1002,998,0
13,1002,997,1
14,1002,997,1
15,1002,997,1
16,1002,997,1
17,1002,997,1
18,1002,997,1
19,1002,997,1
20,1002,997,1
21,1002,997,1
22,1002,997,1
23,1003,995,2
24,1003,995,2
25,1003,995,2
26,1003,995,2
27,1003,995,2
28,1003,995,2
29,1003,995,2
30,1003,995,2
31,1003,995,2
32,1003,991,6
33,1003,991,6
34,1003,991,6
35,1003,991,6
36,1003,991,6
37,1006,988,6
38,1006,988,6
39,1006,988,6
40,1006,988,6
41,1006,986,8
42,1006,986,8
43,1009,983,8
44,1015,973,12
45,1017,971,12
46,1020,963,17
47,1022,959,19
48,1025,947,28
49,1026,941,33
50,1029,936,35
51,1029,935,36
52,1029,933,38
53,1029,933,38
54,1032,918,50
55,1035,911,54
56,1035,907,58
57,1039,899,62
58,1042,895,63
59,1048,882,70
60,1049,881,70
61,1056,868,76
62,1059,864,77
63,1062,853,85
64,1065,843,92
65,1065,840,95
66,1067,837,96
67,1072,826,102
68,1075,817,108
69,1075,816,109
70,1078,811,111
71,1084,803,113
72,1091,789,120
73,1100,775,125
74,1104,762,134
75,1108,751,141
76,1113,742,145
77,1118,733,149
78,1123,727,150
79,1124,725,151
80,1131,714,155
81,1134,710,156
82,1137,703,160
83,1140,696,164
84,1145,686,169
85,1148,676,176
86,1150,670,180
87,1157,657,186
88,1159,652,189
89,1162,642,196
90,1163,637,200
91,1166,626,208
92,1168,617,215
93,1174,604,222
94,1183,591,226
95,1190,577,233
96,1201,563,236
97,1207,549,244
98,1222,526,252
99,1228,515,257
100,1233,505,262
101,1237,492,271
102,1246,476,278
103,1257,459,284
104,1266,437,297
105,1276,420,304
106,1284,408,308
107,1295,389,316
108,1306,363,331
