round,trusted_count,unknown_count,malicious_count
0,139,146,0
1,147,128,10
2,147,128,10
3,154,112,19
4,154,112,19
5,157,107,21
6,160,100,25
7,162,95,28
8,167,86,32
9,168,84,33
10,169,82,34
11,172,74,39
12,173,73,39
13,174,71,40
14,174,71,40
15,176,66,43
16,177,66,43
17,177,65,43
18,178,62,45
19,178,62,45
20,178,62,45
21,178,62,45
22,180,59,46
23,180,59,46
24,181,56,47
25,182,55,48
26,183,53,49
27,183,53,49
28,183,53,49
29,183,53,49
30,183,53,49
31,183,51,50
32,184,50,51
33,184,50,51
34,184,50,51
35,184,50,51
36,184,49,51
37,185,48,52
38,185,48,52
39,185,48,52
40,185,48,52
41,185,48,52
42,185,48,52
43,185,47,52
44,185,47,52
45,185,47,53
46,185,47,53
47,185,47,53
48,186,46,53
49,186,46,54
50,186,46,54
51,186,46,54
52,186,45,54
53,187,44,55
54,187,43,55
55,187,43,55
56,188,41,56
57,188,41,56
58,188,41,56
59,188,40,57
60,189,39,57
61,189,39,57
62,190,37,58
63,191,34,60
64,191,34,60
65,191,33,61
66,192,32,61
67,192,31,62
68,194,27,64
69,195,25,65
70,196,22,66
71,196,22,66
72,197,22,67
73,198,19,68
74,198,18,69
75,199,16,70
76,200,14,71
77,201,12,72
78,201,12,72
79,201,11,72
80,201,11,73
81,202,10,73
82,202,10,73
83,202,10,73
84,202,9,74
85,202,9,74
86,202,9,74
87,202,8,74
88,203,8,74
89,203,8,74
90,203,8,75
91,203,8,75
92,203,8,75
93,203,7,75
94,203,7,75
95,203,7,75
96,203,7,75
97,203,7,75
98,203,7,75
99,203,6,75
100,203,6,75
101,203,6,75
102,203,6,75
103,203,6,75
104,203,6,75
105,203,6,75
106,203,6,75
107,203,6,75
108,203,6,75
109,203,6,75
110,203,6,75
111,203,6,75
112,204,6,76
113,204,6,76
114,204,6,76
115,204,6,76
116,204,6,76
117,204,6,76
118,204,6,76
119,204,6,76
120,204,6,76
121,204,6,76
122,204,6,76
123,204,6,76
124,204,6,76
125,204,6,76
126,204,6,76
127,204,6,76
