metric,value
std_coverage_per_round_round_0,0.0021
std_coverage_per_round_round_1,0.009
std_coverage_per_round_round_2,0.009
std_coverage_per_round_round_3,0.009
std_coverage_per_round_round_4,0.0077
std_coverage_per_round_round_5,0.014
std_coverage_per_round_round_6,0.0136
std_coverage_per_round_round_7,0.0136
std_coverage_per_round_round_8,0.0136
std_coverage_per_round_round_9,0.0136
std_coverage_per_round_round_10,0.0135
std_coverage_per_round_round_11,0.013
std_coverage_per_round_round_12,0.0122
std_coverage_per_round_round_13,0.0119
std_coverage_per_round_round_14,0.0119
std_coverage_per_round_round_15,0.0134
std_coverage_per_round_round_16,0.0134
std_coverage_per_round_round_17,0.0132
std_coverage_per_round_round_18,0.0154
std_coverage_per_round_round_19,0.0154
std_coverage_per_round_round_20,0.0152
std_coverage_per_round_round_21,0.0152
std_coverage_per_round_round_22,0.0159
std_coverage_per_round_round_23,0.0165
std_cumulative_trusted_ratio_per_round_round_0,0.2123
std_cumulative_trusted_ratio_per_round_round_1,0.087
std_cumulative_trusted_ratio_per_round_round_2,0.0434
std_cumulative_trusted_ratio_per_round_round_3,0.0321
std_cumulative_trusted_ratio_per_round_round_4,0.0242
std_cumulative_trusted_ratio_per_round_round_5,0.0206
std_cumulative_trusted_ratio_per_round_round_6,0.015
std_cumulative_trusted_ratio_per_round_round_7,0.0127
std_cumulative_trusted_ratio_per_round_round_8,0.0103
std_cumulative_trusted_ratio_per_round_round_9,0.0091
std_cumulative_trusted_ratio_per_round_round_10,0.0093
std_cumulative_trusted_ratio_per_round_round_11,0.0141
std_cumulative_trusted_ratio_per_round_round_12,0.0176
std_cumulative_trusted_ratio_per_round_round_13,0.0164
std_cumulative_trusted_ratio_per_round_round_14,0.0157
std_cumulative_trusted_ratio_per_round_round_15,0.0145
std_cumulative_trusted_ratio_per_round_round_16,0.0156
std_cumulative_trusted_ratio_per_round_round_17,0.0146
std_cumulative_trusted_ratio_per_round_round_18,0.0143
std_cumulative_trusted_ratio_per_round_round_19,0.0135
std_cumulative_trusted_ratio_per_round_round_20,0.0127
std_cumulative_trusted_ratio_per_round_round_21,0.0117
std_cumulative_trusted_ratio_per_round_round_22,0.0116
std_cumulative_trusted_ratio_per_round_round_23,0.0115
std_platform_utility,90.65
std_final_coverage_rate,0.0165
std_total_cost,7.71
std_trusted_count,4.68
std_malicious_count,4.82
std_unknown_count,1.74
std_total_fee,19.32
std_total_bonus_paid,48.3
std_avg_roi,0.0458
