round,10%,20%,30%,40%,50%
1,0.7675,0.7378,0.5368,0.5246,0.3581
2,0.805,0.7656,0.7189,0.7216,0.3581
3,0.7916,0.7625,0.698,0.6917,0.558
4,0.794,0.766,0.7144,0.7066,0.5684
5,0.7972,0.7706,0.7195,0.7048,0.6002
6,0.8054,0.7786,0.7391,0.73,0.6452
7,0.8019,0.7777,0.7342,0.7265,0.6501
8,0.8027,0.7793,0.7383,0.7187,0.6478
9,0.8001,0.7727,0.7308,0.7067,0.6354
10,0.8016,0.7704,0.7358,0.7078,0.6359
11,0.7983,0.7718,0.7401,0.7115,0.634
12,0.7981,0.7636,0.7384,0.7087,0.6209
13,0.7998,0.7632,0.7433,0.7127,0.6225
14,0.8029,0.7701,0.7496,0.7212,0.6385
15,0.8028,0.7682,0.75,0.7242,0.6444
16,0.8031,0.7676,0.7479,0.7189,0.6494
17,0.8023,0.7656,0.747,0.7184,0.656
18,0.8023,0.765,0.7472,0.721,0.6614
19,0.8028,0.7673,0.7503,0.7273,0.6687
20,0.8015,0.7677,0.7491,0.7272,0.6672
21,0.8039,0.7707,0.7503,0.7308,0.6709
22,0.805,0.7721,0.7527,0.7316,0.6713
23,0.8035,0.7714,0.7494,0.7285,0.6696
24,0.8064,0.7747,0.755,0.7326,0.6792
25,0.8069,0.7749,0.7556,0.7334,0.681
26,0.805,0.7732,0.7543,0.7327,0.6816
27,0.8045,0.7737,0.7554,0.7342,0.6845
28,0.8021,0.7711,0.7528,0.7315,0.682
29,0.8012,0.7699,0.7523,0.7311,0.6815
30,0.802,0.772,0.7547,0.735,0.6868
31,0.8031,0.7737,0.757,0.7385,0.6917
32,0.8042,0.7733,0.7585,0.7385,0.6937
33,0.8059,0.7761,0.7612,0.743,0.6995
34,0.8074,0.7782,0.7598,0.7453,0.7016
35,0.8063,0.7766,0.757,0.7443,0.7013
36,0.8057,0.776,0.7577,0.7444,0.7005
37,0.8059,0.7777,0.7596,0.747,0.7045
38,0.8068,0.7799,0.7607,0.7479,0.7066
39,0.808,0.7815,0.7633,0.7481,0.7063
40,0.8088,0.7827,0.7637,0.7491,0.7078
41,0.8088,0.7824,0.7628,0.7491,0.7099
42,0.8097,0.7832,0.7643,0.7503,0.7122
43,0.8101,0.7818,0.7633,0.7507,0.7126
44,0.8122,0.7816,0.7653,0.7514,0.7142
45,0.8116,0.7816,0.7646,0.7511,0.715
46,0.8116,0.7821,0.7641,0.7516,0.7165
47,0.8129,0.7839,0.7662,0.7523,0.7205
48,0.8123,0.7835,0.7652,0.7516,0.7208
49,0.8125,0.7845,0.7667,0.7533,0.7232
50,0.8133,0.785,0.7687,0.7549,0.7261
51,0.8123,0.7822,0.7663,0.7521,0.7234
52,0.8133,0.7842,0.7686,0.7554,0.728
53,0.8145,0.7866,0.7714,0.7582,0.7311
54,0.8153,0.7879,0.773,0.7601,0.7337
55,0.8165,0.7902,0.7754,0.7638,0.7364
56,0.8165,0.7904,0.7756,0.7643,0.7353
57,0.8175,0.7915,0.7773,0.7658,0.7358
58,0.819,0.7936,0.7795,0.7685,0.7381
59,0.8197,0.7948,0.7809,0.7703,0.7399
60,0.8206,0.7959,0.7818,0.7714,0.7411
61,0.8207,0.7967,0.7826,0.7723,0.742
62,0.8212,0.7976,0.7841,0.7748,0.7447
63,0.8211,0.7979,0.7845,0.7752,0.7441
64,0.8215,0.7985,0.785,0.7749,0.744
65,0.8221,0.7998,0.7863,0.7766,0.746
66,0.8221,0.7997,0.7858,0.7772,0.7462
67,0.8225,0.7999,0.7862,0.7779,0.7468
68,0.8226,0.8007,0.7878,0.7797,0.7489
69,0.8228,0.8013,0.788,0.7807,0.7509
70,0.823,0.8017,0.7889,0.7813,0.7513
71,0.824,0.803,0.7908,0.7832,0.7546
72,0.8243,0.8035,0.7916,0.7844,0.7558
73,0.8255,0.8049,0.7933,0.7857,0.757
74,0.8257,0.8051,0.7938,0.7863,0.7574
75,0.8258,0.8063,0.7953,0.7873,0.7587
76,0.8256,0.8071,0.7958,0.7879,0.76
77,0.8263,0.8081,0.797,0.7902,0.7632
78,0.8268,0.8089,0.7979,0.7913,0.7649
79,0.8271,0.8093,0.7982,0.7917,0.7655
80,0.827,0.8092,0.7984,0.7918,0.7663
81,0.8272,0.8098,0.7994,0.7921,0.767
82,0.8278,0.8106,0.8002,0.793,0.768
83,0.8276,0.8106,0.8002,0.7931,0.7686
84,0.8282,0.8116,0.8013,0.794,0.7701
85,0.828,0.8119,0.8017,0.7945,0.7705
86,0.8282,0.8125,0.8023,0.7949,0.7709
87,0.8278,0.8122,0.8022,0.7946,0.7712
88,0.8277,0.8122,0.8026,0.7948,0.7719
89,0.8279,0.8121,0.803,0.7953,0.7724
90,0.8278,0.8126,0.8039,0.7961,0.7733
91,0.8266,0.8124,0.8041,0.7964,0.774
92,0.8263,0.8122,0.8039,0.7969,0.7747
93,0.8262,0.8128,0.8043,0.7973,0.7749
94,0.8264,0.8131,0.8044,0.7979,0.7757
