round,trusted_count,unknown_count,malicious_count
0,154,124,7
1,164,102,20
2,166,98,21
3,166,96,22
4,170,90,25
5,171,87,27
6,175,79,32
7,180,68,36
8,181,67,37
9,183,63,39
10,183,63,39
11,183,62,40
12,184,61,40
13,184,60,41
14,185,58,41
15,185,58,42
16,186,56,43
17,187,55,43
18,187,55,43
19,187,55,43
20,187,54,44
21,187,54,44
22,187,54,44
23,188,53,44
24,188,53,44
25,188,53,44
26,188,53,44
27,188,52,45
28,189,50,46
29,189,50,46
30,189,50,46
31,189,50,46
32,189,49,46
33,189,49,46
34,189,49,46
35,189,49,46
36,189,49,46
37,189,49,46
38,189,49,47
39,190,48,47
40,190,48,47
41,190,47,47
42,190,47,48
43,190,47,48
44,191,46,48
45,191,46,48
46,191,45,48
47,191,45,48
48,191,45,48
49,191,45,49
50,192,45,49
51,192,45,49
52,192,44,49
53,192,44,49
54,193,42,50
55,194,39,52
56,194,38,52
57,195,36,53
58,196,36,54
59,197,33,55
60,197,32,56
61,198,31,56
62,199,28,58
63,199,28,58
64,200,27,59
65,201,25,60
66,201,25,60
67,201,24,60
68,201,23,60
69,201,23,60
70,203,20,62
71,203,20,62
72,204,19,63
73,204,19,63
74,204,18,63
75,204,16,64
76,205,16,64
77,205,15,65
78,205,15,65
79,205,15,65
80,205,14,65
81,206,14,65
82,206,14,65
83,206,13,66
84,206,13,66
85,206,13,66
86,206,12,67
87,206,12,67
88,206,12,67
89,206,12,67
90,207,12,67
91,207,11,67
92,207,11,68
93,207,10,68
94,207,10,68
95,207,10,68
96,207,10,68
97,208,9,68
98,208,9,68
99,208,9,69
100,208,8,69
101,208,8,69
102,208,8,69
103,208,8,69
104,208,7,69
105,209,7,70
106,209,6,70
107,209,6,70
108,209,6,70
109,209,6,70
110,209,6,70
111,209,6,70
112,209,5,70
113,209,5,70
114,209,5,70
115,209,5,70
116,209,5,70
117,209,5,71
118,209,5,71
119,209,5,71
120,209,5,71
121,209,5,71
122,209,5,71
123,209,5,71
124,209,5,71
125,209,5,71
126,209,5,71
127,209,5,71
128,209,5,71
129,209,5,71
130,209,5,71
131,209,5,71
132,209,5,71
133,209,5,71
134,209,5,71
