task_id,region_id,start_time,end_time,required_workers
t46_00,46,52200,52800,1
t46_01,46,46200,46800,1
t65_00,65,68400,69000,1
t55_00,55,78600,79200,1
t75_00,75,66600,67200,1
t46_02,46,77400,78000,1
t34_00,34,82800,83400,1
t45_00,45,81000,81600,1
t65_01,65,85800,86400,1
t44_00,44,65400,66000,1
t44_01,44,37800,38400,1
t65_02,65,80400,81000,1
t54_00,54,64800,65400,1
t46_03,46,65400,66000,1
t56_00,56,81000,81600,1
t46_04,46,84600,85200,1
t64_00,64,82200,82800,1
t46_05,46,73200,73800,1
t65_03,65,74400,75000,1
t36_00,36,62400,63000,1
t44_02,44,58200,58800,1
t55_01,55,79800,80400,1
t45_01,45,51000,51600,1
t46_06,46,61800,62400,1
t56_01,56,51000,51600,1
t55_02,55,82200,82800,1
t27_00,27,49800,50400,1
t53_00,53,57000,57600,1
t18_00,18,54000,54600,1
t43_00,43,46200,46800,1
t55_03,55,76800,77400,1
t47_00,47,62400,63000,1
t64_01,64,49800,50400,1
t44_03,44,28800,29400,1
t35_00,35,69000,69600,1
t52_00,52,83400,84000,1
t94_00,94,78600,79200,1
t56_02,56,30000,30600,1
t46_07,46,78000,78600,1
t46_08,46,82200,82800,1
t46_09,46,75600,76200,1
t65_04,65,66600,67200,1
t56_03,56,60000,60600,1
t46_10,46,44400,45000,1
t37_00,37,32400,33000,1
t46_11,46,42000,42600,1
t35_01,35,54000,54600,1
t45_02,45,76200,76800,1
t56_04,56,68400,69000,1
t56_05,56,61200,61800,1
t19_00,19,74400,75000,1
t44_04,44,61800,62400,1
t65_05,65,79200,79800,1
t36_01,36,64800,65400,1
t33_00,33,77400,78000,1
t36_02,36,74400,75000,1
t54_01,54,50400,51000,1
t47_01,47,47400,48000,1
t45_03,45,70200,70800,1
t26_00,26,49200,49800,1
t63_00,63,69600,70200,1
t46_12,46,37800,38400,1
t64_02,64,67200,67800,1
t55_04,55,81600,82200,1
t55_05,55,48000,48600,1
t75_01,75,78000,78600,1
t45_04,45,76200,76800,1
t35_02,35,86400,87000,1
t18_01,18,62400,63000,1
t52_01,52,72600,73200,1
t56_06,56,48600,49200,1
t56_07,56,72000,72600,1
t46_13,46,61800,62400,1
t56_08,56,38400,39000,1
t37_01,37,79200,79800,1
t46_14,46,72000,72600,1
t64_03,64,73200,73800,1
t45_05,45,43200,43800,1
t83_00,83,54000,54600,1
t37_02,37,82800,83400,1
t64_04,64,64800,65400,1
t62_00,62,75000,75600,1
t64_05,64,58800,59400,1
t34_01,34,73800,74400,1
t63_01,63,68400,69000,1
t36_03,36,54000,54600,1
t46_15,46,66000,66600,1
t46_16,46,45000,45600,1
t46_17,46,59400,60000,1
t07_00,7,40800,41400,1
t44_05,44,86400,87000,1
t36_04,36,49800,50400,1
t45_06,45,82200,82800,1
t74_00,74,76800,77400,1
t36_05,36,68400,69000,1
t46_18,46,43200,43800,1
t65_06,65,73200,73800,1
t44_06,44,77400,78000,1
t46_19,46,74400,75000,1
t36_06,36,60000,60600,1
t65_07,65,68400,69000,1
t47_02,47,84600,85200,1
t37_03,37,64800,65400,1
t46_20,46,73800,74400,1
t46_21,46,73800,74400,1
t47_03,47,54000,54600,1
t56_09,56,73800,74400,1
t46_22,46,82200,82800,1
t55_06,55,67200,67800,1
t55_07,55,44400,45000,1
t55_08,55,53400,54000,1
t53_01,53,73800,74400,1
t46_23,46,85200,85800,1
t34_02,34,68400,69000,1
t53_02,53,81000,81600,1
t46_24,46,83400,84000,1
t56_10,56,66600,67200,1
t53_03,53,76800,77400,1
t44_07,44,85200,85800,1
t45_07,45,72000,72600,1
t46_25,46,76200,76800,1
t19_01,19,64800,65400,1
t56_11,56,52200,52800,1
t46_26,46,53400,54000,1
t64_06,64,58200,58800,1
t46_27,46,72000,72600,1
t44_08,44,66600,67200,1
t46_28,46,72600,73200,1
