task_id,region_id,start_time,end_time,required_workers
t55_00,55,49615,53215,1
t55_01,55,72357,75957,2
t55_02,55,82397,85997,3
t55_03,55,47400,51000,3
t55_04,55,25203,28803,3
t55_05,55,9116,12716,1
t55_06,55,29871,33471,2
t55_07,55,10458,14058,1
t55_08,55,13238,16838,2
t55_09,55,36434,40034,2
t55_10,55,47819,51419,1
t55_11,55,48520,52120,2
t55_12,55,27460,31060,3
t55_13,55,34993,38593,3
t55_14,55,9358,12958,3
t52_00,52,22431,26031,3
t52_01,52,32087,35687,1
t52_02,52,60589,64189,2
t52_03,52,35382,38982,3
t52_04,52,73000,76600,1
t53_00,53,42504,46104,1
t53_01,53,30021,33621,1
t53_02,53,41347,44947,2
t53_03,53,35093,38693,1
t53_04,53,27653,31253,3
t53_05,53,41245,44845,1
t53_06,53,65435,69035,2
t53_07,53,60142,63742,1
t53_08,53,34718,38318,1
t53_09,53,32325,35925,3
t53_10,53,73579,77179,3
t53_11,53,34438,38038,3
t53_12,53,76622,80222,2
t53_13,53,76484,80084,2
t53_14,53,47447,51047,1
t43_00,43,18131,21731,3
t43_01,43,64686,68286,1
t43_02,43,6175,9775,1
t43_03,43,20033,23633,3
t43_04,43,20969,24569,3
t43_05,43,55333,58933,3
t56_00,56,8326,11926,2
t56_01,56,50019,53619,3
t56_02,56,61348,64948,3
t56_03,56,32953,36553,3
t33_00,33,1504,5104,3
t33_01,33,15014,18614,3
t33_02,33,70381,73981,2
t66_00,66,44587,48187,1
t66_01,66,38469,42069,2
t66_02,66,20730,24330,2
t66_03,66,425,4025,3
t66_04,66,34522,38122,3
t66_05,66,23416,27016,3
t66_06,66,13947,17547,3
t54_00,54,39117,42717,3
t54_01,54,66540,70140,3
t54_02,54,26071,29671,1
t54_03,54,49009,52609,1
t54_04,54,70697,74297,3
t54_05,54,74,3674,3
t54_06,54,42487,46087,2
t54_07,54,2552,6152,1
t54_08,54,47576,51176,2
t54_09,54,31385,34985,1
t54_10,54,31571,35171,3
t54_11,54,10322,13922,1
t54_12,54,63699,67299,1
t54_13,54,69822,73422,1
t54_14,54,16828,20428,3
t54_15,54,62296,65896,3
t54_16,54,21643,25243,2
t54_17,54,69163,72763,3
t54_18,54,55461,59061,1
t54_19,54,70686,74286,3
t54_20,54,26365,29965,3
t54_21,54,40857,44457,2
t54_22,54,48944,52544,2
t54_23,54,67839,71439,2
t54_24,54,15860,19460,1
t54_25,54,29451,33051,1
t54_26,54,44313,47913,1
t54_27,54,77110,80710,3
t54_28,54,30161,33761,3
t54_29,54,28864,32464,1
t54_30,54,9305,12905,3
t54_31,54,82719,86319,1
t54_32,54,30007,33607,1
t34_00,34,4117,7717,2
t34_01,34,9287,12887,3
t34_02,34,31195,34795,2
t34_03,34,63624,67224,1
t34_04,34,70678,74278,1
t34_05,34,74847,78447,3
t34_06,34,61953,65553,1
t23_00,23,61993,65593,2
t23_01,23,24957,28557,1
t23_02,23,12704,16304,3
t23_03,23,56498,60098,2
t23_04,23,55519,59119,2
t23_05,23,61213,64813,3
t23_06,23,7100,10700,3
t23_07,23,12899,16499,1
t23_08,23,52772,56372,3
t23_09,23,44473,48073,1
t64_00,64,32591,36191,1
t64_01,64,24931,28531,3
t64_02,64,58800,62400,1
t64_03,64,55296,58896,1
t64_04,64,36509,40109,2
t64_05,64,32742,36342,1
t64_06,64,58082,61682,3
t64_07,64,12833,16433,1
t64_08,64,70855,74455,1
t64_09,64,12224,15824,1
t64_10,64,21798,25398,2
t64_11,64,63653,67253,2
t65_00,65,28016,31616,2
t65_01,65,7685,11285,1
t65_02,65,49672,53272,1
t65_03,65,51173,54773,2
t65_04,65,59638,63238,2
t65_05,65,55444,59044,3
t65_06,65,72845,76445,3
t24_00,24,63788,67388,1
t24_01,24,24890,28490,2
t24_02,24,28534,32134,1
t24_03,24,75914,79514,3
t24_04,24,71066,74666,1
t24_05,24,41104,44704,1
t10_00,10,6572,10172,3
t10_01,10,62493,66093,3
t10_02,10,69615,73215,1
t10_03,10,7455,11055,3
t10_04,10,10500,14100,1
t10_05,10,8981,12581,3
t60_00,60,8907,12507,3
t62_00,62,30828,34428,2
t62_01,62,15713,19313,3
t62_02,62,32271,35871,3
t62_03,62,77924,81524,1
t67_00,67,81183,84783,1
t67_01,67,54948,58548,3
t67_02,67,76503,80103,3
t67_03,67,68522,72122,2
t73_00,73,34179,37779,1
t73_01,73,41180,44780,1
t73_02,73,34814,38414,2
t73_03,73,17154,20754,3
t73_04,73,39321,42921,2
t73_05,73,41441,45041,1
t45_00,45,1220,4820,2
t45_01,45,81416,85016,3
t45_02,45,13104,16704,1
t44_00,44,70468,74068,1
t44_01,44,66307,69907,2
t44_02,44,17361,20961,2
t44_03,44,9016,12616,1
t44_04,44,48434,52034,2
t11_00,11,20676,24276,2
t11_01,11,71200,74800,3
t11_02,11,39651,43251,3
t46_00,46,69329,72929,1
t36_00,36,72692,76292,2
t30_00,30,13577,17177,1
t12_00,12,34664,38264,1
t03_00,3,14029,17629,3
t76_00,76,72512,76112,1
t76_01,76,35697,39297,2
t76_02,76,79276,82876,1
t76_03,76,44942,48542,1
t76_04,76,34600,38200,3
t76_05,76,64032,67632,2
t76_06,76,6658,10258,1
t86_00,86,55518,59118,2
t15_00,15,5778,9378,1
t49_00,49,43719,47319,1
t49_01,49,34335,37935,1
t42_00,42,57912,61512,3
t42_01,42,56057,59657,3
t61_00,61,1267,4867,1
t63_00,63,9862,13462,3
t63_01,63,19536,23136,3
t63_02,63,4722,8322,2
t63_03,63,76350,79950,3
t63_04,63,19410,23010,2
t63_05,63,16704,20304,1
t63_06,63,40404,44004,2
t94_00,94,5229,8829,2
t72_00,72,27535,31135,3
t72_01,72,32706,36306,3
t13_00,13,13473,17073,2
t57_00,57,73385,76985,2
t57_01,57,81351,84951,3
t57_02,57,20257,23857,1
t57_03,57,21299,24899,1
t57_04,57,54040,57640,1
t84_00,84,23509,27109,3
t37_00,37,43540,47140,2
t14_00,14,32527,36127,2
