round,trusted_count,unknown_count,malicious_count
0,1425,575,0
1,1425,575,0
2,1425,575,0
3,1425,575,0
4,1425,575,0
5,1425,575,0
6,1425,575,0
7,1425,575,0
8,1425,575,0
9,1426,574,0
10,1426,574,0
11,1426,574,0
12,1426,574,0
13,1426,574,0
14,1426,574,0
15,1426,574,0
16,1426,574,0
17,1426,574,0
18,1426,574,0
19,1426,574,0
20,1426,574,0
21,1426,574,0
22,1426,574,0
23,1427,572,1
24,1427,572,1
25,1427,572,1
26,1427,572,1
27,1427,572,1
28,1427,572,1
29,1427,572,1
30,1427,572,1
31,1427,572,1
32,1427,570,3
33,1427,570,3
34,1427,570,3
35,1427,570,3
36,1427,570,3
37,1428,568,4
38,1428,568,4
39,1428,568,4
40,1428,568,4
41,1428,567,4
42,1428,567,4
43,1429,566,4
44,1432,561,7
45,1432,560,7
46,1433,558,9
47,1434,556,11
48,1437,549,15
49,1438,545,17
50,1443,537,20
51,1443,536,21
52,1443,533,24
53,1443,533,24
54,1446,524,30
55,1449,520,32
56,1449,517,34
57,1451,513,35
58,1453,510,37
59,1454,505,41
60,1455,504,41
61,1459,497,45
62,1460,494,46
63,1463,488,50
64,1466,481,53
65,1467,477,56
66,1468,474,58
67,1471,467,62
68,1474,463,63
69,1474,461,64
70,1477,457,66
71,1478,456,66
72,1481,448,71
73,1484,441,75
74,1488,434,78
75,1489,429,82
76,1490,426,83
77,1493,421,86
78,1493,420,87
79,1494,418,88
80,1497,412,91
81,1499,409,92
82,1501,405,94
83,1502,402,96
84,1507,394,99
85,1509,390,101
86,1511,386,103
87,1512,382,106
88,1514,378,108
89,1516,371,112
90,1518,368,114
91,1520,363,117
92,1523,357,120
93,1527,351,122
94,1529,343,128
95,1533,335,132
96,1536,327,136
97,1540,320,140
98,1546,312,142
99,1551,304,145
100,1556,295,150
101,1560,285,155
102,1563,275,162
103,1570,262,168
104,1576,247,177
105,1582,233,185
106,1587,222,191
107,1594,211,195
108,1599,201,200
